,res,resnet_model,lr,weight_decay,batchsize,model_n,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Epochs,Training time,Time
0,100,ResNet18,0.01,0,256,0,0.485,1.4109866553343784,0.9816666666666667,0.803,0.5076666666666667,0.058666666666666666,0.262,0.297,30.0,0:31:18.779701,14773571.869075729
1,100,ResNet18,0.01,0,256,1,0.46255555555555555,1.3785578663031808,0.944,0.106,0.8043333333333333,0.14233333333333334,0.006,0.7726666666666666,42.0,0:43:36.830323,14776201.395462828
2,100,ResNet18,0.01,0,256,2,0.5183333333333333,1.1804267281484777,0.45866666666666667,0.851,0.22,0.3473333333333333,0.325,0.908,37.0,0:39:30.805377,14778584.652055057
3,100,ResNet18,0.01,0,256,3,0.5515,1.0922807418217406,0.8793333333333333,0.7193333333333334,0.662,0.11966666666666667,0.26766666666666666,0.661,22.0,0:24:02.344152,14780043.678577544
4,100,ResNet18,0.01,0,512,0,0.5247222222222222,1.1685716449446453,0.9156666666666666,0.91,0.21466666666666667,0.04633333333333333,0.43066666666666664,0.631,50.0,0:51:28.503840,14783144.59259298
5,100,ResNet18,0.01,0,512,1,0.4617777777777778,1.6749893919948344,0.9756666666666667,0.8243333333333334,0.47433333333333333,0.05,0.36466666666666664,0.08166666666666667,36.0,0:37:11.579512,14785388.574815517
6,100,ResNet18,0.01,0,512,2,0.4438888888888889,1.5402476553939572,0.9726666666666667,0.086,0.634,0.011333333333333334,0.004333333333333333,0.955,30.0,0:31:03.276916,14787264.404954853
7,100,ResNet18,0.01,0,512,3,0.5651111111111111,1.058841601349419,0.9226666666666666,0.754,0.661,0.018666666666666668,0.29933333333333334,0.735,32.0,0:32:57.118835,14789254.005700331
8,100,ResNet18,0.01,0,1024,0,0.4652222222222222,1.434429248286704,0.331,0.7886666666666666,0.13966666666666666,0.12966666666666668,0.43066666666666664,0.9716666666666667,34.0,0:35:37.811871,14791404.276927471
9,100,ResNet18,0.01,0,1024,1,0.48438888888888887,1.241165023754256,0.9146666666666666,0.21,0.7303333333333333,0.08533333333333333,0.033666666666666664,0.9323333333333333,30.0,0:31:32.241525,14793309.024980612
10,100,ResNet18,0.01,0,1024,2,0.3000555555555556,3.5397599021582264,0.6646666666666666,0.007,0.128,0.0,0.001,0.9996666666666667,45.0,0:48:21.600672,14796223.199076535
11,100,ResNet18,0.01,0,1024,3,0.4708333333333333,1.5442029146084428,0.9846666666666667,0.7013333333333334,0.7276666666666667,0.018,0.08333333333333333,0.31,52.0,1:04:04.647738,14800080.34982714
12,100,ResNet18,0.1,0,256,0,0.47788888888888886,1.2912664636043283,0.498,0.898,0.05333333333333334,0.08233333333333333,0.367,0.9686666666666667,23.0,0:32:03.450802,14802020.722579729
13,100,ResNet18,0.1,0,256,1,0.4192777777777778,1.5883990145078943,0.13466666666666666,0.911,0.051,0.010333333333333333,0.5213333333333333,0.8873333333333333,24.0,0:33:29.183739,14804046.386105044
14,100,ResNet18,0.1,0,256,2,0.4514444444444444,1.567296591306801,0.9276666666666666,0.829,0.226,0.6146666666666667,0.023,0.08833333333333333,29.0,0:40:24.594232,14806487.578640671
15,100,ResNet18,0.1,0,256,3,0.2688333333333333,3.0255776371903917,0.05566666666666667,0.30366666666666664,0.023,0.10933333333333334,0.12566666666666668,0.9956666666666667,19.0,0:26:28.895122,14808093.10590376
16,100,ResNet18,0.1,0,512,0,0.4757222222222222,1.370734981689972,0.931,0.23366666666666666,0.6276666666666667,0.04133333333333333,0.06333333333333334,0.9573333333333334,43.0,0:58:52.258135,14811641.752347328
17,100,ResNet18,0.1,0,512,1,0.3421666666666667,2.402061999856636,0.095,0.5723333333333334,0.033,0.0,0.3556666666666667,0.997,20.0,0:27:26.013553,14813305.240151854
18,100,ResNet18,0.1,0,512,2,0.3683888888888889,1.9093452636270445,0.49966666666666665,0.0,0.802,0.0,0.002,0.9066666666666666,32.0,0:43:47.401789,14815949.019884588
19,100,ResNet18,0.1,0,512,3,0.5118333333333334,1.1692794992118296,0.6203333333333333,0.908,0.117,0.14333333333333334,0.361,0.9213333333333333,20.0,0:27:27.727280,14817613.106182303
20,100,ResNet18,0.1,0,1024,0,0.16672222222222222,1.7928718051454953,0.0,0.0,0.0,0.0,1.0,0.0003333333333333333,37.0,0:51:09.449431,14820699.828919448
21,100,ResNet18,0.1,0,1024,1,0.5618888888888889,1.0476507141362454,0.9816666666666667,0.7403333333333333,0.537,0.033666666666666664,0.18333333333333332,0.8953333333333333,28.0,0:38:42.741300,14823038.93423904
22,100,ResNet18,0.1,0,1024,2,0.4305555555555556,1.5942899410306302,0.46066666666666667,0.736,0.07433333333333333,0.747,0.03966666666666667,0.5256666666666666,25.0,0:34:34.855422,14825131.635715976
23,100,ResNet18,0.1,0,1024,3,0.5068888888888889,1.2372311526129678,0.9606666666666667,0.8076666666666666,0.44033333333333335,0.005,0.2936666666666667,0.534,23.0,0:31:44.072858,14827052.37276592
24,100,Resnet34,0.001,0,256,0,0.5912777777777778,0.9429397298655033,0.8473333333333334,0.8,0.20633333333333334,0.273,0.48833333333333334,0.9326666666666666,53.0,1:19:16.020933,14831825.342252808
25,100,Resnet34,0.001,0,256,1,0.6065,0.9142231110843505,0.955,0.7506666666666667,0.4693333333333333,0.2866666666666667,0.24166666666666667,0.9356666666666666,48.0,1:11:47.481594,14836152.14493703
26,100,Resnet34,0.001,0,256,2,0.6032777777777778,0.9201120175120981,0.9106666666666666,0.8373333333333334,0.4693333333333333,0.114,0.388,0.9003333333333333,29.0,0:43:23.028371,14838772.6177322
27,100,Resnet34,0.001,0,256,3,0.5532222222222222,1.0715818629886342,0.7213333333333334,0.722,0.18933333333333333,0.3576666666666667,0.37833333333333335,0.9506666666666667,28.0,0:41:52.131200,14841303.884374753
28,100,Resnet34,0.001,0,512,0,0.6026666666666667,0.9195164722659972,0.9126666666666666,0.803,0.5196666666666667,0.15333333333333332,0.30366666666666664,0.9236666666666666,36.0,0:53:50.435376,14844551.552042384
29,100,Resnet34,0.001,0,512,1,0.5985555555555555,0.9363965307676843,0.859,0.7986666666666666,0.5683333333333334,0.0013333333333333333,0.43966666666666665,0.9243333333333333,36.0,0:53:11.423160,14847762.694010956
30,100,Resnet34,0.001,0,512,2,0.5886111111111111,0.9577587128017775,0.8746666666666667,0.8303333333333334,0.32966666666666666,0.026,0.654,0.817,50.0,1:13:21.692234,14852181.746063706
31,100,Resnet34,0.001,0,512,3,0.5527222222222222,1.0809737646486555,0.7016666666666667,0.8446666666666667,0.15066666666666667,0.0026666666666666666,0.6673333333333333,0.9493333333333334,32.0,0:46:52.702635,14855011.90374516
32,100,Resnet34,0.001,0,1024,0,0.5734444444444444,1.0132574286616656,0.9756666666666667,0.7796666666666666,0.33266666666666667,0.304,0.312,0.7366666666666667,40.0,0:59:25.395538,14858596.888417143
33,100,Resnet34,0.001,0,1024,1,0.5517777777777778,1.148613588182742,0.8833333333333333,0.909,0.404,0.10066666666666667,0.44033333333333335,0.5733333333333334,68.0,1:45:22.469473,14864936.65543348
34,100,Resnet34,0.001,0,1024,2,0.5859444444444445,0.9740061417568263,0.9393333333333334,0.7883333333333333,0.5403333333333333,0.015666666666666666,0.2793333333333333,0.9526666666666667,31.0,0:50:18.538405,14867974.010574136
35,100,Resnet34,0.001,0,1024,3,0.5844444444444444,0.9651688291508227,0.8493333333333334,0.76,0.37933333333333336,0.002,0.585,0.931,24.0,0:37:20.348526,14870231.80273158
36,100,Resnet34,0.01,0,256,0,0.5621111111111111,1.0241394954411966,0.7356666666666667,0.874,0.16633333333333333,0.294,0.506,0.7966666666666666,34.0,0:55:14.508197,14873564.79756068
37,100,Resnet34,0.01,0,256,1,0.479,1.306678972000645,0.6866666666666666,0.9313333333333333,0.12366666666666666,0.009666666666666667,0.325,0.7976666666666666,34.0,0:55:33.149539,14876916.439847939
38,100,Resnet34,0.01,0,256,2,0.4221111111111111,1.9001230082348746,0.9823333333333333,0.025,0.5233333333333333,0.003,0.025333333333333333,0.9736666666666667,66.0,1:48:28.894723,14883444.388556916
39,100,Resnet34,0.01,0,256,3,0.5824444444444444,0.9908999691849917,0.9436666666666667,0.652,0.6323333333333333,0.12366666666666666,0.2683333333333333,0.8746666666666667,41.0,1:08:42.799540,14887588.54045016
40,100,Resnet34,0.01,0,512,0,0.587,0.9472216991262776,0.804,0.8543333333333333,0.26,0.32966666666666666,0.399,0.875,48.0,1:19:07.005723,14892354.344033532
41,100,Resnet34,0.01,0,512,1,0.44427777777777777,1.4826544476645673,0.191,0.8323333333333334,0.06166666666666667,0.23066666666666666,0.38866666666666666,0.9613333333333334,39.0,0:56:27.451153,14895761.609317835
